ano;cor;area;questao;idioma;distrator_mais_escolhido;maior_taxa_escolha;empate_escolha;max_similaridade_com_correta;valor_max_similaridade_com_correta;empate_similaridade_com_correta;coincide_similaridade_com_correta;max_sim_media_outros_distratores;valor_max_sim_media_outros_distratores;empate_sim_media_outros_distratores;coincide_sim_media_outros_distratores;max_diferenca_similaridade;valor_max_diferenca_similaridade;empate_diferenca_similaridade;coincide_diferenca_similaridade
2020;Amarela;CH;46;geral;A;0.1851638107076267;False;E;0.5344122052192688;False;False;C;0.5503429571787516;False;False;A;0.1528570552666983;False;True
2020;Amarela;CH;47;geral;B;0.3241168116456595;False;B;0.4664465188980102;False;True;B;0.4704512357711792;False;True;C;0.0846504072348277;False;False
2020;Amarela;CH;48;geral;A;0.2323949915638042;False;C;0.4780386388301849;False;False;B;0.3253902792930603;False;False;B;-0.0099790096282958;False;False
2020;Amarela;CH;49;geral;E;0.1327775067630493;False;D;0.6673932075500488;False;False;A;0.4449756443500519;False;False;B;0.097347507874171;False;False
2020;Amarela;CH;50;geral;A;0.4549693578470556;False;A;0.3587484359741211;False;True;D;0.3216170767943063;False;False;C;0.1257318059603373;False;False
2020;Amarela;CH;51;geral;E;0.193637130052802;False;A;0.3735263645648956;False;False;E;0.4640530943870544;False;True;E;0.1130014061927795;False;True
2020;Amarela;CH;52;geral;B;0.2144092986114192;False;E;0.5266999006271362;False;False;E;0.5391372541586558;False;False;D;0.2126480440298716;False;False
2020;Amarela;CH;53;geral;A;0.2909010208610741;False;A;0.4431266188621521;False;True;E;0.4365682204564411;False;False;C;0.0433519283930461;False;False
2020;Amarela;CH;54;geral;D;0.1247669773635153;False;D;0.4424676299095154;False;True;D;0.4257885913054148;False;True;C;0.0983942449092865;False;False
2020;Amarela;CH;55;geral;E;0.1574928977272727;False;E;0.4383769333362579;False;True;E;0.3124383836984634;False;True;B;-0.0186782429615657;False;False
2020;Amarela;CH;56;geral;A;0.2299875754348598;False;B;0.5096917152404785;False;False;B;0.4960456689198811;False;False;C;0.0301880836486816;False;False
2020;Amarela;CH;57;geral;C;0.0731144631765749;False;D;0.4830459356307983;False;False;C;0.3952700595060984;False;True;C;0.0238868991533915;False;True
2020;Amarela;CH;58;geral;A;0.3190497335701598;False;C;0.5262681245803833;False;False;C;0.4418647785981496;False;False;B;0.0820163836081822;False;False
2020;Amarela;CH;59;geral;A;0.0991295079054894;False;A;0.4806803464889526;False;True;E;0.3865660528341929;False;False;E;0.0245361427466075;False;False
2020;Amarela;CH;60;geral;A;0.135986512267625;False;A;0.2943091988563537;False;True;E;0.2778925746679305;False;False;E;0.0307694226503372;False;False
2020;Amarela;CH;61;geral;B;0.1299720633231342;False;D;0.5048508644104004;False;False;B;0.2972933650016784;False;True;B;0.0648428201675415;False;True
2020;Amarela;CH;62;geral;E;0.1469021835611574;False;E;0.374368816614151;False;True;E;0.4097773532072703;False;True;B;0.0777180393536885;False;False
2020;Amarela;CH;63;geral;B;0.2544825137582105;False;B;0.4781970083713531;False;True;C;0.4200912117958069;False;False;A;0.0632421274979909;False;False
2020;Amarela;CH;64;geral;B;0.2158465091490495;False;B;0.3944964706897735;False;True;B;0.4066019554932912;False;True;A;0.1433297942082087;False;False
2020;Amarela;CH;65;geral;A;0.4083618429821833;False;A;0.5409114360809326;False;True;E;0.4950634737809499;False;False;C;0.1334605713685353;False;False
2020;Amarela;CH;66;geral;C;0.40483276329232;False;E;0.4632603228092193;False;False;C;0.4470169941584269;False;True;D;0.1135232647260029;False;False
2020;Amarela;CH;67;geral;A;0.249988885431023;False;D;0.5463826060295105;False;False;B;0.4328427712122599;False;False;A;-0.0179983377456665;False;True
2020;Amarela;CH;68;geral;A;0.281188910609561;False;B;0.4290912449359894;False;False;A;0.4622148672739665;False;True;C;0.1063230037689209;False;False
2020;Amarela;CH;69;geral;D;0.2287288399164704;False;D;0.5048800706863403;False;True;B;0.4982552131017049;False;False;B;0.1474236746629079;False;False
2020;Amarela;CH;70;geral;A;0.2933202968756944;False;C;0.4706871807575226;False;False;D;0.4288124938805898;False;False;D;0.0087039073308308;False;False
2020;Amarela;CH;71;geral;A;0.2873875478756569;False;A;0.5848175287246704;False;True;D;0.662760059038798;False;False;B;0.154168059428533;False;False
2020;Amarela;CH;72;geral;A;0.265760362521658;False;D;0.4426708519458771;False;False;E;0.435263454914093;False;False;B;0.0957128703594208;False;False
2020;Amarela;CH;73;geral;E;0.300080056929372;False;D;0.447108656167984;False;False;C;0.3385196725527445;False;False;A;-0.0558391114075978;False;False
2020;Amarela;CH;74;geral;D;0.5235574142456734;False;D;0.5030413866043091;False;True;D;0.3372705678145091;False;True;B;0.0168916136026381;False;False
2020;Amarela;CH;75;geral;D;0.1896145467478771;False;B;0.5511527061462402;False;False;B;0.5640220443407694;False;False;D;0.1202824215094248;False;True
2020;Amarela;CH;76;geral;B;0.1712468872287442;False;B;0.2517478764057159;False;True;E;0.271072452267011;False;False;A;0.0913823743661245;False;False
2020;Amarela;CH;77;geral;A;0.4916896275886588;False;A;0.6908883452415466;False;True;A;0.5593558351198832;False;True;D;-0.0051404039065043;False;False
2020;Amarela;CH;78;geral;C;0.2173216431527883;False;C;0.3873595893383026;False;True;E;0.3510528206825256;False;False;E;0.0505008101463318;False;False
2020;Amarela;CH;79;geral;A;0.285720638591186;False;B;0.3738170862197876;False;False;B;0.3689073622226715;False;False;A;0.1432278752326966;False;True
2020;Amarela;CH;80;geral;B;0.2459402945232904;False;A;0.4502238035202026;False;False;C;0.3858249286810557;False;False;B;0.0913681387901306;False;True
2020;Amarela;CH;81;geral;A;0.2100440371869578;False;D;0.6423114538192749;False;False;B;0.3387244443098704;False;False;A;0.0210797488689422;False;True
2020;Amarela;CH;82;geral;A;0.3204626334519573;False;E;0.3850666284561157;False;False;A;0.2922949095567067;False;True;A;0.0570673694213231;False;True
2020;Amarela;CH;83;geral;B;0.1670890578453603;False;B;0.2997206449508667;False;True;B;0.3779174586137135;False;True;E;0.1087969144185383;False;False
2020;Amarela;CH;84;geral;A;0.3004137194715067;False;B;0.6168609857559204;False;False;B;0.3774267037709554;False;False;E;-0.0440203746159871;False;False
2020;Amarela;CH;85;geral;D;0.2713447171824973;False;A;0.2931417226791382;False;False;A;0.5576612055301666;False;False;B;0.2651020089785258;False;False
2020;Amarela;CH;86;geral;B;0.2721614652796301;False;B;0.529600203037262;False;True;B;0.4758258859316508;False;True;B;-0.0537743171056111;False;True
2020;Amarela;CH;87;geral;A;0.2923083771031781;False;D;0.4046612381935119;False;False;A;0.4498874445756276;False;True;A;0.1697464187939962;False;True
2020;Amarela;CH;88;geral;D;0.1839213418160786;False;C;0.3853738009929657;False;False;A;0.3560191392898559;False;False;A;0.0107328295707702;False;False
2020;Amarela;CH;89;geral;E;0.2290018665007555;False;D;0.5708907842636108;False;False;A;0.4602432350317637;False;False;A;-0.0077613194783528;False;False
2020;Amarela;CH;90;geral;B;0.2171768783045274;False;B;0.3223055005073547;False;True;B;0.481349766254425;False;True;C;0.248533234000206;False;False
2020;Amarela;CN;91;geral;D;0.2833487084870849;False;B;0.7475367784500122;False;False;B;0.6828009684880575;False;False;D;0.0992343425750732;False;True
2020;Amarela;CN;92;geral;A;0.742559180471598;False;B;0.4081579446792602;False;False;B;0.5158247848351797;False;False;D;0.1905329823493957;False;False
2020;Amarela;CN;93;geral;E;0.3319484835895305;False;A;0.4506284594535827;False;False;A;0.6008737087249756;False;False;B;0.1587459246317545;False;False
2020;Amarela;CN;94;geral;A;0.2095449090741253;False;C;0.5745941400527954;False;False;E;0.4381877382596333;False;False;D;0.049919456243515;False;False
2020;Amarela;CN;95;geral;E;0.1757105943152454;False;A;0.5442981123924255;False;False;E;0.4725755552450816;False;True;C;0.1445696055889129;False;False
2020;Amarela;CN;96;geral;E;0.2696608446539137;False;E;0.953081488609314;False;True;B;0.7579738100369772;False;False;A;0.0922999580701192;False;False
2020;Amarela;CN;97;geral;A;0.3707652543155174;False;B;0.6357302665710449;False;False;A;0.5851908326148987;False;True;E;0.0071145097414652;False;False
2020;Amarela;CN;98;geral;D;0.1715037142988972;False;D;0.5972581505775452;False;True;A;0.4601871867974599;False;False;E;0.0762434105078379;False;False
2020;Amarela;CN;99;geral;B;0.2357963723635021;False;B;0.7404049634933472;False;True;C;0.5783009131749471;False;False;D;-0.0335701008637747;False;False
2020;Amarela;CN;100;geral;E;0.3826909762289406;False;B;0.6384834051132202;False;False;A;0.4833799799283345;False;False;A;0.0147574742635091;False;False
2020;Amarela;CN;103;geral;E;0.4463626292466765;False;E;0.62629234790802;False;True;A;0.4191989302635193;False;False;B;0.0472248494625091;False;False
2020;Amarela;CN;104;geral;B;0.2771746662355061;False;E;0.5875660181045532;False;False;C;0.5522135496139526;False;False;B;0.0324394802252451;False;True
2020;Amarela;CN;105;geral;D;0.1978580001846551;False;C;0.5889700651168823;False;False;B;0.6193983952204386;False;False;B;0.2335718671480814;False;False
2020;Amarela;CN;106;geral;D;0.318657990677927;False;A;0.943200707435608;False;False;D;0.8334817886352539;False;True;E;0.0330430070559183;False;False
2020;Amarela;CN;109;geral;B;0.2513401109057301;False;A;0.8213262557983398;False;False;B;0.7283161083857218;False;True;E;-0.0639821688334146;False;False
2020;Amarela;CN;110;geral;E;0.2199972315784616;False;D;0.5504418611526489;False;False;E;0.4240068346261978;False;True;E;-0.0702932029962539;False;True
2020;Amarela;CN;111;geral;E;0.1056539383877513;False;A;0.6718021035194397;False;False;A;0.5586197972297668;False;False;E;-0.0772377749284108;False;True
2020;Amarela;CN;112;geral;A;0.5596567315677771;False;A;0.4360308051109314;False;True;E;0.4382175107796986;False;False;E;0.0830541749795277;False;False
2020;Amarela;CN;113;geral;A;0.1826829831447702;False;C;0.8189743757247925;False;False;C;0.7167842785517374;False;False;B;0.1379944880803426;False;False
2020;Amarela;CN;117;geral;A;0.2544531610521458;False;D;0.6955046653747559;False;False;D;0.4479132791360219;False;False;A;0.0558910469214121;False;True
2020;Amarela;CN;118;geral;D;0.1272786007660713;False;A;0.8169272541999817;False;False;D;0.8713695406913757;False;True;D;0.1605382561683654;False;True
2020;Amarela;CN;119;geral;C;0.4432227663309618;False;B;0.7355770468711853;False;False;C;0.69650266567866;False;True;A;0.1264599760373433;False;False
2020;Amarela;CN;120;geral;A;0.1530890439443648;False;E;0.6260289549827576;False;False;A;0.6581867933273315;False;True;A;0.0853959321975708;False;True
2020;Amarela;CN;122;geral;B;0.3100374151231004;False;A;0.8943718671798706;False;False;B;0.7842629750569662;False;True;C;-0.0174311200777689;False;False
2020;Amarela;CN;123;geral;D;0.381359061951805;False;B;0.7507143020629883;False;False;D;0.6385979255040487;False;True;D;0.0856591065724691;False;True
