cor;area;questao;pct_branco;pct_dupla;pct_A;pct_B;pct_C;pct_D;pct_E
Azul;Linguagens, Códigos e suas Tecnologias;1;0.0015027908973808501;0.00034886217260626876;0.029305014114800375;0.36693103911816105;0.2590939642425057;0.19943540798494422;0.14523457453958866
Azul;Linguagens, Códigos e suas Tecnologias;2;0.0015832975525976814;0.00037569772434521253;0.13175230566534915;0.05899276706730123;0.6641929499072357;0.05243204000967976;0.09262993735043425
Azul;Linguagens, Códigos e suas Tecnologias;3;0.0018248175182481751;0.00048303993130098755;0.11175964279950508;0.6747807843348217;0.05938996180536877;0.08037011135617839;0.07369949970412609
Azul;Linguagens, Códigos e suas Tecnologias;4;0.003381279519106913;0.00048303993130098755;0.49873383620689654;0.1927532327586207;0.06883081896551724;0.1459051724137931;0.09377693965517242
Azul;Linguagens, Códigos e suas Tecnologias;5;0.0017711464147702877;0.0005098754830399313;0.3228704376126308;0.26552623793001423;0.08440248527394496;0.1290244492858872;0.1981763898975228
Azul;Linguagens, Códigos e suas Tecnologias;6;0.0018248175182481751;0.0002683555173894375;0.08739848330016672;0.18305276179207228;0.11730221050933147;0.40891733448071854;0.20332920991771097
Azul;Linguagens, Códigos e suas Tecnologias;7;0.0010465865178188065;0.00042936882782310007;0.24346260313365045;0.018893278507887877;0.05418044021607676;0.5651052164798839;0.11835846166250101
Azul;Linguagens, Códigos e suas Tecnologias;8;0.0017979819665092315;0.0009660798626019751;0.20857888646699496;0.37407497107182264;0.11232205807163424;0.1631549204811496;0.1418691639083986
Azul;Linguagens, Códigos e suas Tecnologias;9;0.00279089738085015;0.0008587376556462001;0.16063348416289594;0.14735509588450765;0.08381814264167205;0.26842275371687135;0.339770523594053
Azul;Linguagens, Códigos e suas Tecnologias;10;0.0013149420352082438;0.0005903821382567626;0.030597155378700294;0.18584142177291427;0.3553625682252037;0.07372355013040088;0.3544753044927809
Azul;Linguagens, Códigos e suas Tecnologias;11;0.001529626449119794;0.00016101331043366253;0.21203731082497781;0.043842907448724495;0.07628827182064998;0.6127254643692374;0.05510604553641031
Azul;Linguagens, Códigos e suas Tecnologias;12;0.0009392443108630314;0.00048303993130098755;0.703179167450485;0.05826234178065626;0.08032571013947488;0.08948966703394158;0.0687431135954422
Azul;Linguagens, Códigos e suas Tecnologias;13;0.0012344353799914126;0.0007245598969514813;0.4188916673388723;0.06410152994003926;0.2870318087709392;0.07206044473125219;0.15791454921889705
Azul;Linguagens, Códigos e suas Tecnologias;14;0.0007782310004293688;0.00107342206955775;0.028821078101895416;0.02349778195994085;0.04140341443742439;0.0199220325312542;0.8863556929694851
Azul;Linguagens, Códigos e suas Tecnologias;15;0.0013417775869471876;0.00034886217260626876;0.0916642025751996;0.12435149592752882;0.6377516733421145;0.060482245100938144;0.08575038305421898
Azul;Linguagens, Códigos e suas Tecnologias;16;0.0019858308286818376;0.00042936882782310007;0.16476569645451122;0.35559799860117286;0.11072254801743153;0.25396782697584336;0.11494592995104105
Azul;Linguagens, Códigos e suas Tecnologias;17;0.003354443967367969;0.0004562043795620438;0.3092775173751414;0.12558590593179247;0.13167393998168203;0.1736975378481763;0.2597650988632078
Azul;Linguagens, Códigos e suas Tecnologias;18;0.0009660798626019751;0.0006977243452125375;0.07171657437772162;0.12829955378743077;0.11953658405462073;0.0511531638083974;0.6292941239718295
Azul;Linguagens, Códigos e suas Tecnologias;19;0.0014222842421640189;0.00042936882782310007;0.1229466326119102;0.12318860061836269;0.3953488372093023;0.0913563651028364;0.26715956445758837
Azul;Linguagens, Códigos e suas Tecnologias;20;0.0020395019321597253;0.0002951910691283813;0.07052747666568039;0.23038437743766307;0.3477418834225462;0.08131371546924174;0.2700325470048686
Azul;Linguagens, Códigos e suas Tecnologias;21;0.0013149420352082438;0.00037569772434521253;0.028171285718125858;0.10007795489368565;0.21002123598827988;0.3488347087443886;0.31289481465552
Azul;Linguagens, Códigos e suas Tecnologias;22;0.0014222842421640189;0.0004562043795620438;0.08407269989783299;0.01895467010808195;0.7481045329891918;0.031268484164112494;0.11759961284078077
Azul;Linguagens, Códigos e suas Tecnologias;23;0.0026835551738943753;0.0008050665521683126;0.1895836699520655;0.2897883341412183;0.21597457855334734;0.08213497064684655;0.22251844670652232
Azul;Linguagens, Códigos e suas Tecnologias;24;0.001636968656075569;0.0006172176899957063;0.0877891339429801;0.09607315761161915;0.4961269499731038;0.1464228079612695;0.17358795051102743
Azul;Linguagens, Códigos e suas Tecnologias;25;0.0034081150708458567;0.0002951910691283813;0.13289877713731615;0.14114097936755912;0.5726714431934493;0.04533211226633626;0.10795668803533912
Azul;Linguagens, Códigos e suas Tecnologias;26;0.0010197509660798626;0.00032202662086732505;0.3038103939377654;0.15050787338098565;0.0914172085774171;0.3677916912989735;0.08647283280485839
Azul;Linguagens, Códigos e suas Tecnologias;27;0.001395448690425075;0.0004562043795620438;0.09684097324909262;0.07570910068557601;0.11781153380830757;0.058717569565801854;0.650920822691222
Azul;Linguagens, Códigos e suas Tecnologias;28;0.002415199656504938;0.00024151996565049377;0.05650477599892372;0.6964079106686398;0.07951029194134267;0.10773577290461456;0.05984124848647922
Azul;Linguagens, Códigos e suas Tecnologias;29;0.0021200085873765563;0.0005635465865178189;0.3508502852222581;0.09293940372403402;0.05333118071251749;0.38230545689376816;0.12057367344742223
Azul;Linguagens, Códigos e suas Tecnologias;30;0.0012612709317303564;0.0006172176899957063;0.8060977577028553;0.01777168360488251;0.11308275528311018;0.03159111684680325;0.03145668656234877
Azul;Linguagens, Códigos e suas Tecnologias;31;0.0019053241734650064;0.0007782310004293688;0.4931923366698956;0.09799806264126575;0.15999354213755246;0.20145840060273382;0.04735765794855236
Azul;Linguagens, Códigos e suas Tecnologias;32;0.0012612709317303564;0.0005098754830399313;0.020081724823915265;0.02182913059841927;0.04752943706650895;0.8615785794935211;0.04898112801763536
Azul;Linguagens, Códigos e suas Tecnologias;33;0.0021468441391155;0.0005635465865178189;0.17084196647202862;0.18238570621316902;0.19618975863089633;0.2751392514059683;0.17544331727793774
Azul;Linguagens, Códigos e suas Tecnologias;34;0.0026030485186775442;0.0005098754830399313;0.2018682028642188;0.2628136104231722;0.05900721438570044;0.220980941100463;0.25533003122644554
Azul;Linguagens, Códigos e suas Tecnologias;35;0.0023346930012881064;0.0005635465865178189;0.13104209279793305;0.450559801916245;0.08900312197222521;0.08706534610830013;0.2423296372052966
Azul;Linguagens, Códigos e suas Tecnologias;36;0.003112924001717475;0.0006708887934735938;0.11241009616679687;0.1423645718287854;0.4290062764324004;0.2087115804218409;0.10750747515017645
Azul;Linguagens, Códigos e suas Tecnologias;37;0.0026298840704164876;0.0006440532417346501;0.12317591944429487;0.10241774810187927;0.35027731409186363;0.1918313499542297;0.2322976684077325
Azul;Linguagens, Códigos e suas Tecnologias;38;0.0015564620008587376;0.0009124087591240876;0.07567523942752609;0.11624340901754009;0.5310448724846659;0.15412138168513936;0.1229150973851286
