arquivo;questao;idioma;sim_AB;sim_AC;sim_AD;sim_AE;sim_BC;sim_BD;sim_BE;sim_CD;sim_CE;sim_DE;sim_media;sim_maxima;par_mais_similar
Amarelo/Amarelo.json;1;inglês;0.4213874936103821;0.28680896759033203;0.28441160917282104;0.17617833614349365;0.28324469923973083;0.2857480049133301;0.2768215537071228;0.39653754234313965;0.5500340461730957;0.5775222182273865;0.35386944711208346;0.5775222182273865;DE
Amarelo/Amarelo.json;2;inglês;0.15353712439537048;0.29486286640167236;0.45214763283729553;0.2756444215774536;0.4156413674354553;0.1915649175643921;0.31638532876968384;0.24292223155498505;0.32059672474861145;0.19323763251304626;0.2856540247797966;0.45214763283729553;AD
Amarelo/Amarelo.json;3;inglês;0.542792797088623;0.3332701623439789;0.22407421469688416;0.3668813407421112;0.3984365165233612;0.3680180311203003;0.21759676933288574;0.28630366921424866;0.4257744252681732;0.3108118772506714;0.3473959803581238;0.542792797088623;AB
Amarelo/Amarelo.json;4;inglês;0.22187425196170807;0.22670578956604004;0.44444626569747925;0.24145196378231049;0.266643762588501;0.19531506299972534;0.19988107681274414;0.1414795219898224;0.14900846779346466;0.3491568863391876;0.2435963049530983;0.44444626569747925;AD
Amarelo/Amarelo.json;5;inglês;0.6036778688430786;0.4208593964576721;0.5361982583999634;0.22219258546829224;0.4582597613334656;0.5563639402389526;0.16245189309120178;0.2084154486656189;0.22485783696174622;0.314969003200531;0.37082459926605227;0.6036778688430786;AB
Amarelo/Amarelo.json;1;espanhol;0.49443820118904114;0.442950576543808;0.45403796434402466;0.5520697832107544;0.35500460863113403;0.3556320071220398;0.6190849542617798;0.37225547432899475;0.5140727162361145;0.44202786684036255;0.46015741527080534;0.6190849542617798;BE
Amarelo/Amarelo.json;2;espanhol;0.30381035804748535;0.2515873312950134;0.2279043197631836;0.3931379020214081;0.4222683012485504;0.37242162227630615;0.4034869968891144;0.3200334310531616;0.45687445998191833;0.38901254534721375;0.3540537267923355;0.45687445998191833;CE
Amarelo/Amarelo.json;3;espanhol;0.2314104437828064;0.39186450839042664;0.5135453939437866;0.33622032403945923;0.18251098692417145;0.302554190158844;0.40095674991607666;0.2917528748512268;0.13639423251152039;0.3133280873298645;0.31005377918481825;0.5135453939437866;AD
Amarelo/Amarelo.json;4;espanhol;0.4588773250579834;0.45493873953819275;0.1468685418367386;0.3086971640586853;0.4703841805458069;0.13144271075725555;0.13741883635520935;0.39793944358825684;0.5534449815750122;0.5993285179138184;0.3659340441226959;0.5993285179138184;DE
Amarelo/Amarelo.json;5;espanhol;0.21511337161064148;0.21759794652462006;0.24196627736091614;0.3771554231643677;0.38490211963653564;0.4252477288246155;0.2062428593635559;0.6061040163040161;0.18213672935962677;0.2266174703836441;0.30830839425325396;0.6061040163040161;CD
Amarelo/Amarelo.json;6;geral;0.3604101538658142;0.6836386322975159;0.6295819878578186;0.5467977523803711;0.44700437784194946;0.45909401774406433;0.4217572808265686;0.6353259086608887;0.44991347193717957;0.46712732315063477;0.5100650906562805;0.6836386322975159;AC
Amarelo/Amarelo.json;7;geral;0.5746098160743713;0.3498958349227905;0.582042396068573;0.5109367370605469;0.3800286054611206;0.5225639343261719;0.5568574070930481;0.4534466564655304;0.3999914526939392;0.7626247406005859;0.5092997580766678;0.7626247406005859;DE
Amarelo/Amarelo.json;8;geral;0.5479159355163574;0.6788581609725952;0.6686594486236572;0.6484231352806091;0.6608791351318359;0.5271496772766113;0.4945122003555298;0.5693607330322266;0.5751070976257324;0.7068634033203125;0.6077728927135467;0.7068634033203125;DE
Amarelo/Amarelo.json;9;geral;0.25902485847473145;0.3602175712585449;0.24660494923591614;0.32316064834594727;0.3159300684928894;0.26911625266075134;0.2705100476741791;0.42929959297180176;0.28553059697151184;0.23761555552482605;0.29970101416110995;0.42929959297180176;CD
Amarelo/Amarelo.json;10;geral;0.4120956361293793;0.534967839717865;0.511752724647522;0.4619249701499939;0.3139653503894806;0.5657458305358887;0.47816264629364014;0.40522196888923645;0.33968687057495117;0.5080398917198181;0.4531563729047775;0.5657458305358887;BD
Amarelo/Amarelo.json;11;geral;0.2805217504501343;0.4928256869316101;0.191439688205719;0.6736773252487183;0.4400213956832886;0.47449791431427;0.2809060215950012;0.34245628118515015;0.4381050765514374;0.24876736104488373;0.38632185012102127;0.6736773252487183;AE
Amarelo/Amarelo.json;12;geral;0.24888959527015686;0.22461870312690735;0.17084328830242157;0.2853580117225647;0.39370155334472656;0.23762911558151245;0.30663830041885376;0.0032743276096880436;0.10628846287727356;0.30157846212387085;0.22788198203779758;0.39370155334472656;BC
Amarelo/Amarelo.json;13;geral;0.3006291091442108;0.5438548922538757;0.040176961570978165;0.2812493145465851;0.26132482290267944;0.05966823920607567;0.10642410069704056;0.01698361709713936;0.30491819977760315;0.2325780689716339;0.21478073261678218;0.5438548922538757;AC
Amarelo/Amarelo.json;14;geral;0.40021267533302307;0.24211353063583374;0.3817889094352722;0.15958133339881897;0.3990282416343689;0.3696553111076355;0.4120631515979767;0.4804823398590088;0.37341299653053284;0.3477877974510193;0.356612628698349;0.4804823398590088;CD
Amarelo/Amarelo.json;15;geral;0.21046173572540283;0.1389012187719345;0.29960277676582336;0.261783242225647;0.33266693353652954;0.2040288746356964;0.44740161299705505;0.21604155004024506;0.47330403327941895;0.24018153548240662;0.28243735134601594;0.47330403327941895;CE
Amarelo/Amarelo.json;16;geral;0.42503637075424194;0.5754062533378601;0.37730491161346436;0.4200667440891266;0.4052734673023224;0.5042164325714111;0.3693925440311432;0.5014040470123291;0.38025274872779846;0.39239630103111267;0.435074982047081;0.5754062533378601;AC
Amarelo/Amarelo.json;17;geral;0.3479297161102295;0.5902249813079834;0.42191779613494873;0.5136621594429016;0.37514352798461914;0.2732390761375427;0.4779496490955353;0.4205211400985718;0.6187816858291626;0.44382643699645996;0.44831961691379546;0.6187816858291626;CE
Amarelo/Amarelo.json;18;geral;0.28141114115715027;0.4521828889846802;0.19564318656921387;0.4160905182361603;0.48668718338012695;0.3048584461212158;0.30540066957473755;0.35870638489723206;0.50846928358078;0.31406500935554504;0.3623514711856842;0.50846928358078;CE
Amarelo/Amarelo.json;19;geral;0.3752986192703247;0.3902108073234558;0.15277256071567535;0.3155680298805237;0.5240893959999084;0.26708468794822693;0.3685208559036255;0.24958032369613647;0.33867189288139343;-0.02907128445804119;0.2952725889161229;0.5240893959999084;BC
Amarelo/Amarelo.json;20;geral;0.6047464609146118;0.5182650089263916;0.4759933352470398;0.45563480257987976;0.39336612820625305;0.3092665672302246;0.44529256224632263;0.473237544298172;0.5361432433128357;0.3486136198043823;0.4560559272766113;0.6047464609146118;AB
Amarelo/Amarelo.json;21;geral;0.3937937319278717;0.4356222152709961;0.27086305618286133;0.24976737797260284;0.5506464242935181;0.4212680757045746;0.4074060618877411;0.6376328468322754;0.35580870509147644;0.2731036841869354;0.3995912179350853;0.6376328468322754;CD
Amarelo/Amarelo.json;22;geral;0.5393497943878174;0.5005823373794556;0.46792373061180115;0.2509500980377197;0.42514729499816895;0.5987653732299805;0.25329506397247314;0.3599739670753479;0.2898871600627899;0.2829320430755615;0.3968806862831116;0.5987653732299805;BD
Amarelo/Amarelo.json;23;geral;0.3184692859649658;0.3368978798389435;0.4634568691253662;0.4317123293876648;0.133751779794693;0.1866302490234375;0.38704049587249756;0.42512986063957214;0.4615098834037781;0.3233216404914856;0.3467920273542404;0.4634568691253662;AD
Amarelo/Amarelo.json;24;geral;0.41970551013946533;0.4279402792453766;0.3927997052669525;0.5711628198623657;0.35798537731170654;0.43178245425224304;0.47344017028808594;0.5106697082519531;0.4860210418701172;0.46813803911209106;0.45396451056003573;0.5711628198623657;AE
Amarelo/Amarelo.json;25;geral;0.6356738805770874;0.46460989117622375;0.5331989526748657;0.33552855253219604;0.49259138107299805;0.6556364297866821;0.3491451144218445;0.5599891543388367;0.37318435311317444;0.41421830654144287;0.48137760162353516;0.6556364297866821;BD
Amarelo/Amarelo.json;26;geral;0.2551686763763428;0.6670441031455994;0.6544404625892639;0.32358452677726746;0.20682574808597565;0.2455190122127533;0.31654632091522217;0.4992184042930603;0.23500336706638336;0.20252865552902222;0.36058792769908904;0.6670441031455994;AC
Amarelo/Amarelo.json;27;geral;0.35002321004867554;0.5574369430541992;0.6465764045715332;0.542715311050415;0.25468629598617554;0.3308389186859131;0.396323561668396;0.5090224742889404;0.48685282468795776;0.47743481397628784;0.45519107580184937;0.6465764045715332;AD
Amarelo/Amarelo.json;28;geral;0.7197518348693848;0.45818865299224854;0.48103922605514526;0.5936068892478943;0.4183953106403351;0.6049313545227051;0.6203216910362244;0.5425708293914795;0.5182937383651733;0.58604896068573;0.554314848780632;0.7197518348693848;AB
Amarelo/Amarelo.json;29;geral;0.2242642194032669;0.4410240352153778;0.4241708517074585;0.35084033012390137;0.2143843024969101;0.16556859016418457;0.15334273874759674;0.49016183614730835;0.7231792211532593;0.5982201099395752;0.3785156235098839;0.7231792211532593;CE
Amarelo/Amarelo.json;30;geral;0.18359488248825073;0.19611507654190063;0.510635495185852;0.1952497959136963;0.3801184296607971;0.24703805148601532;0.41864585876464844;0.24486657977104187;0.30267804861068726;0.4111238420009613;0.3090066060423851;0.510635495185852;AD
Amarelo/Amarelo.json;31;geral;0.48271167278289795;0.4580587148666382;0.35073184967041016;0.500576376914978;0.22615458071231842;0.18362361192703247;0.3790755271911621;0.34813183546066284;0.638100802898407;0.4122903347015381;0.3979455307126045;0.638100802898407;CE
Amarelo/Amarelo.json;32;geral;0.12439423054456711;0.3255564570426941;0.31222328543663025;0.2842905819416046;0.2328317016363144;0.1937231868505478;0.26662009954452515;0.5677696466445923;0.34051308035850525;0.3779160678386688;0.302583833783865;0.5677696466445923;CD
Amarelo/Amarelo.json;33;geral;0.21175314486026764;0.11708079278469086;0.3775157928466797;0.09133130311965942;0.5471464395523071;0.20498447120189667;0.47869089245796204;0.2004498541355133;0.40848830342292786;0.17856596410274506;0.281600695848465;0.5471464395523071;BC
Amarelo/Amarelo.json;34;geral;0.2603308856487274;0.6197352409362793;0.17988398671150208;0.2828810513019562;0.40067818760871887;0.5817368030548096;0.3850057125091553;0.42366185784339905;0.5478518009185791;0.48287785053253174;0.4164643377065659;0.6197352409362793;AC
Amarelo/Amarelo.json;35;geral;0.09734751284122467;0.10171891748905182;0.4647368788719177;0.23715677857398987;0.2523086667060852;0.2917228937149048;0.4196757674217224;0.3167969584465027;0.3002161383628845;0.5512921810150146;0.3032972693443298;0.5512921810150146;DE
Amarelo/Amarelo.json;36;geral;0.3129926919937134;0.30393511056900024;0.4465826153755188;0.23304249346256256;0.43268898129463196;0.5232053995132446;0.418329656124115;0.3239390254020691;0.47148001194000244;0.34367072582244873;0.38098667114973067;0.5232053995132446;BD
Amarelo/Amarelo.json;37;geral;0.637751042842865;0.6945493221282959;0.5337984561920166;0.4298417866230011;0.6270062327384949;0.5827907919883728;0.4923829734325409;0.5662519931793213;0.5455025434494019;0.5358855724334717;0.5645760715007782;0.6945493221282959;AC
Amarelo/Amarelo.json;38;geral;0.4659464657306671;0.4427626132965088;0.40155452489852905;0.45284363627433777;0.38866543769836426;0.5255815982818604;0.5985578298568726;0.310244083404541;0.43093013763427734;0.5804873704910278;0.4597573697566986;0.5985578298568726;BE
Amarelo/Amarelo.json;39;geral;0.16885854303836823;0.5082442760467529;0.24609898030757904;0.2631033658981323;0.23358651995658875;0.17007508873939514;0.3196098804473877;0.23022785782814026;0.238936647772789;0.35121291875839233;0.27299540787935256;0.5082442760467529;AC
Amarelo/Amarelo.json;40;geral;0.5429602861404419;0.5269745588302612;0.4932655096054077;0.4032028913497925;0.5718514919281006;0.39998605847358704;0.4687884449958801;0.377704918384552;0.6187193393707275;0.3084784746170044;0.4711931973695755;0.6187193393707275;CE
Amarelo/Amarelo.json;41;geral;0.45954012870788574;0.5061610341072083;0.5025328397750854;0.43208047747612;0.5255393981933594;0.6833829879760742;0.5620490908622742;0.5586636662483215;0.5445445775985718;0.6390323042869568;0.5413526505231857;0.6833829879760742;BD
Amarelo/Amarelo.json;42;geral;0.46391838788986206;0.28098344802856445;0.27669116854667664;0.33127865195274353;0.4037662744522095;0.45716679096221924;0.27706271409988403;0.5370047092437744;0.6607825756072998;0.36940017342567444;0.4058054894208908;0.6607825756072998;CE
Amarelo/Amarelo.json;43;geral;0.5058144330978394;0.4732489585876465;0.40389764308929443;0.3821882903575897;0.7302483916282654;0.6771011352539062;0.6817985773086548;0.7473710179328918;0.8072998523712158;0.702858030796051;0.6111826330423356;0.8072998523712158;CE
Amarelo/Amarelo.json;44;geral;0.3181423842906952;0.4794173836708069;0.3587552309036255;0.5751561522483826;0.14503061771392822;0.1296372413635254;0.3628113269805908;0.3987845778465271;0.4239516854286194;0.3490169048309326;0.35407035052776337;0.5751561522483826;AE
Amarelo/Amarelo.json;45;geral;0.3039903938770294;0.3002716302871704;0.4117509126663208;0.3515365719795227;0.4697713851928711;0.5818116664886475;0.5226816534996033;0.4479920268058777;0.45503753423690796;0.5579412579536438;0.44027850329875945;0.5818116664886475;BD
Amarelo/Amarelo.json;46;geral;0.5571285486221313;0.17485091090202332;0.3053777813911438;0.3203894793987274;0.2978636920452118;0.3613441586494446;0.34366464614868164;0.42933040857315063;0.37197527289390564;0.45930472016334534;0.3621229618787766;0.5571285486221313;AB
Amarelo/Amarelo.json;47;geral;0.36525020003318787;0.30612999200820923;0.3481825590133667;0.3026270270347595;0.39116162061691284;0.23829619586467743;0.28337305784225464;0.2069368213415146;0.359843909740448;0.30328768491744995;0.3105089068412781;0.39116162061691284;BC
Amarelo/Amarelo.json;48;geral;0.49278563261032104;0.6127707362174988;0.40640366077423096;0.462746798992157;0.5217962265014648;0.5030890107154846;0.544992208480835;0.5061413049697876;0.5901621580123901;0.47521403431892395;0.5116101771593093;0.6127707362174988;AC
Amarelo/Amarelo.json;49;geral;0.3604775071144104;0.26532045006752014;0.2874835133552551;0.1912207007408142;0.3506198227405548;0.41095075011253357;0.2695196866989136;0.6106050610542297;0.1910107135772705;0.19231250882148743;0.31295207142829895;0.6106050610542297;CD
Amarelo/Amarelo.json;50;geral;0.608883798122406;0.46919673681259155;0.5133432745933533;0.4549024701118469;0.3841327726840973;0.42614465951919556;0.436170369386673;0.31513679027557373;0.32256823778152466;0.4574524760246277;0.43879315853118894;0.608883798122406;AB
Amarelo/Amarelo.json;51;geral;0.25858011841773987;0.4002298414707184;0.4177153408527374;0.3075091242790222;0.24922190606594086;0.28167030215263367;0.15621550381183624;0.33260756731033325;0.3575356602668762;0.16640636324882507;0.29276917278766634;0.4177153408527374;AD
Amarelo/Amarelo.json;52;geral;0.2417777180671692;0.32313811779022217;0.28891175985336304;0.24588504433631897;0.28113043308258057;0.3873991370201111;0.22479704022407532;0.24363389611244202;0.3507694900035858;0.2868005037307739;0.2874243140220642;0.3873991370201111;BD
Amarelo/Amarelo.json;53;geral;0.612372636795044;0.616507887840271;0.4804779887199402;0.6087146997451782;0.5041250586509705;0.5701677799224854;0.5059428215026855;0.5068504810333252;0.6525720357894897;0.4446529150009155;0.5502384305000305;0.6525720357894897;CE
Amarelo/Amarelo.json;54;geral;0.5673053860664368;0.5177063941955566;0.293930321931839;0.3713752031326294;0.5554634928703308;0.45303577184677124;0.7552101612091064;0.41823384165763855;0.4158720076084137;0.45074087381362915;0.4798873454332352;0.7552101612091064;BE
Amarelo/Amarelo.json;55;geral;0.2308775633573532;0.3871116638183594;0.2790931463241577;0.4229278564453125;0.2341286689043045;0.2628296911716461;0.23394335806369781;0.2885381579399109;0.3451911509037018;0.3081112504005432;0.29927525073289873;0.4229278564453125;AE
Amarelo/Amarelo.json;56;geral;0.46265584230422974;0.3606387972831726;0.4026585817337036;0.23970642685890198;0.363345205783844;0.33379065990448;0.3140867352485657;0.716264009475708;0.49406781792640686;0.49512767791748047;0.41823417544364927;0.716264009475708;CD
Amarelo/Amarelo.json;57;geral;0.40775638818740845;0.4142410159111023;0.5591880083084106;0.4156443476676941;0.5395917892456055;0.5439295768737793;0.2794096767902374;0.47275322675704956;0.42163628339767456;0.5078333616256714;0.4561983674764633;0.5591880083084106;AD
