ano;cor;area;questao;idioma;codigo_prova;gabarito;distrator;taxa_escolha_distrator;taxa_escolha_correta;similaridade_com_correta;outro_distrator_1;sim_outro_distrator_1;outro_distrator_2;sim_outro_distrator_2;outro_distrator_3;sim_outro_distrator_3;sim_media_outros_distratores;sim_max_outros_distratores;sim_min_outros_distratores;outro_distrator_mais_similar;sim_outro_mais_similar;diferenca_similaridade;sim_media_cor_distratores;sim_max_cor_distrator;distrator_mais_similar;sim_media_entre_distratores;sim_max_entre_distratores;par_distratores_mais_similar;sim_AB;sim_AC;sim_AD;sim_AE;sim_BC;sim_BD;sim_BE;sim_CD;sim_CE;sim_DE
2020;Amarela;LC;1;inglês;578;C;A;0.2568965517241379;0.5894704433497537;0.37557053565979;B;0.2181729972362518;D;0.332841545343399;E;0.3377543687820434;0.2962563037872314;0.3377543687820434;0.2181729972362518;E;0.3377543687820434;-0.0793142318725586;0.4887795895338058;0.6301780939102173;D;0.3247731278340021;0.4473004937171936;DE;0.2181729972362518;0.37557053565979;0.332841545343399;0.3377543687820434;0.3583198189735412;0.373336911201477;0.239232450723648;0.6301780939102173;0.5910499095916748;0.4473004937171936
2020;Amarela;LC;1;inglês;578;C;B;0.0895320197044335;0.5894704433497537;0.3583198189735412;A;0.2181729972362518;D;0.373336911201477;E;0.239232450723648;0.27691411972045893;0.373336911201477;0.2181729972362518;D;0.373336911201477;-0.08140569925308228;0.4887795895338058;0.6301780939102173;D;0.3247731278340021;0.4473004937171936;DE;0.2181729972362518;0.37557053565979;0.332841545343399;0.3377543687820434;0.3583198189735412;0.373336911201477;0.239232450723648;0.6301780939102173;0.5910499095916748;0.4473004937171936
2020;Amarela;LC;1;inglês;578;C;D;0.0197660098522167;0.5894704433497537;0.6301780939102173;A;0.332841545343399;B;0.373336911201477;E;0.4473004937171936;0.3844929834206899;0.4473004937171936;0.332841545343399;E;0.4473004937171936;-0.2456851104895274;0.4887795895338058;0.6301780939102173;D;0.3247731278340021;0.4473004937171936;DE;0.2181729972362518;0.37557053565979;0.332841545343399;0.3377543687820434;0.3583198189735412;0.373336911201477;0.239232450723648;0.6301780939102173;0.5910499095916748;0.4473004937171936
2020;Amarela;LC;1;inglês;578;C;E;0.0443349753694581;0.5894704433497537;0.5910499095916748;A;0.3377543687820434;B;0.239232450723648;D;0.4473004937171936;0.3414291044076283;0.4473004937171936;0.239232450723648;D;0.4473004937171936;-0.2496208051840465;0.4887795895338058;0.6301780939102173;D;0.3247731278340021;0.4473004937171936;DE;0.2181729972362518;0.37557053565979;0.332841545343399;0.3377543687820434;0.3583198189735412;0.373336911201477;0.239232450723648;0.6301780939102173;0.5910499095916748;0.4473004937171936
2020;Amarela;LC;2;inglês;578;D;A;0.1154651879235982;0.3804066543438077;0.4987976849079132;B;0.7019599080085754;C;0.4225894808769226;E;0.4900335669517517;0.5381943186124166;0.7019599080085754;0.4225894808769226;B;0.7019599080085754;0.039396633704503414;0.5558713600039482;0.6655158996582031;C;0.5270692656437556;0.7019599080085754;AB;0.7019599080085754;0.4225894808769226;0.4987976849079132;0.4900335669517517;0.4439677298069;0.5514271855354309;0.5058897733688354;0.6655158996582031;0.5979751348495483;0.5077446699142456
2020;Amarela;LC;2;inglês;578;D;B;0.0683918669131238;0.3804066543438077;0.5514271855354309;A;0.7019599080085754;C;0.4439677298069;E;0.5058897733688354;0.5506058037281036;0.7019599080085754;0.4439677298069;A;0.7019599080085754;-0.0008213818073272705;0.5558713600039482;0.6655158996582031;C;0.5270692656437556;0.7019599080085754;AB;0.7019599080085754;0.4225894808769226;0.4987976849079132;0.4900335669517517;0.4439677298069;0.5514271855354309;0.5058897733688354;0.6655158996582031;0.5979751348495483;0.5077446699142456
2020;Amarela;LC;2;inglês;578;D;C;0.2810844115834873;0.3804066543438077;0.6655158996582031;A;0.4225894808769226;B;0.4439677298069;E;0.5979751348495483;0.48817744851112366;0.5979751348495483;0.4225894808769226;E;0.5979751348495483;-0.17733845114707947;0.5558713600039482;0.6655158996582031;C;0.5270692656437556;0.7019599080085754;AB;0.7019599080085754;0.4225894808769226;0.4987976849079132;0.4900335669517517;0.4439677298069;0.5514271855354309;0.5058897733688354;0.6655158996582031;0.5979751348495483;0.5077446699142456
2020;Amarela;LC;2;inglês;578;D;E;0.1546518792359827;0.3804066543438077;0.5077446699142456;A;0.4900335669517517;B;0.5058897733688354;C;0.5979751348495483;0.5312994917233785;0.5979751348495483;0.4900335669517517;C;0.5979751348495483;0.02355482180913293;0.5558713600039482;0.6655158996582031;C;0.5270692656437556;0.7019599080085754;AB;0.7019599080085754;0.4225894808769226;0.4987976849079132;0.4900335669517517;0.4439677298069;0.5514271855354309;0.5058897733688354;0.6655158996582031;0.5979751348495483;0.5077446699142456
2020;Amarela;LC;3;inglês;578;E;A;0.0472989639861864;0.2067094227923039;0.0743817836046218;B;0.0478253401815891;C;0.174592912197113;D;0.1031083315610885;0.10850886131326354;0.174592912197113;0.0478253401815891;C;0.174592912197113;0.034127077708641734;0.190392892807722;0.2638603150844574;B;0.1763317293177048;0.4850618243217468;CD;0.0478253401815891;0.174592912197113;0.1031083315610885;0.0743817836046218;0.0851435810327529;0.1622583866119384;0.2638603150844574;0.4850618243217468;0.1732479035854339;0.2500815689563751
2020;Amarela;LC;3;inglês;578;E;B;0.0637025160335471;0.2067094227923039;0.2638603150844574;A;0.0478253401815891;C;0.0851435810327529;D;0.1622583866119384;0.09840910260876012;0.1622583866119384;0.0478253401815891;D;0.1622583866119384;-0.16545121247569727;0.190392892807722;0.2638603150844574;B;0.1763317293177048;0.4850618243217468;CD;0.0478253401815891;0.174592912197113;0.1031083315610885;0.0743817836046218;0.0851435810327529;0.1622583866119384;0.2638603150844574;0.4850618243217468;0.1732479035854339;0.2500815689563751
2020;Amarela;LC;3;inglês;578;E;C;0.1700789343857918;0.2067094227923039;0.1732479035854339;A;0.174592912197113;B;0.0851435810327529;D;0.4850618243217468;0.24826610585053757;0.4850618243217468;0.0851435810327529;D;0.4850618243217468;0.07501820226510367;0.190392892807722;0.2638603150844574;B;0.1763317293177048;0.4850618243217468;CD;0.0478253401815891;0.174592912197113;0.1031083315610885;0.0743817836046218;0.0851435810327529;0.1622583866119384;0.2638603150844574;0.4850618243217468;0.1732479035854339;0.2500815689563751
2020;Amarela;LC;3;inglês;578;E;D;0.5122101628021707;0.2067094227923039;0.2500815689563751;A;0.1031083315610885;B;0.1622583866119384;C;0.4850618243217468;0.25014284749825794;0.4850618243217468;0.1031083315610885;C;0.4850618243217468;6.127854188281434e-05;0.190392892807722;0.2638603150844574;B;0.1763317293177048;0.4850618243217468;CD;0.0478253401815891;0.174592912197113;0.1031083315610885;0.0743817836046218;0.0851435810327529;0.1622583866119384;0.2638603150844574;0.4850618243217468;0.1732479035854339;0.2500815689563751
2020;Amarela;LC;4;inglês;578;A;B;0.0272816849365685;0.8411750215543786;0.6494477987289429;C;0.6083878874778748;D;0.5272067189216614;E;0.6106747388839722;0.5820897817611694;0.6106747388839722;0.5272067189216614;E;0.6106747388839722;-0.06735801696777344;0.6016850918531418;0.6494477987289429;B;0.5294724802176157;0.6106747388839722;BE;0.6494477987289429;0.4896419644355774;0.6365497708320618;0.6311008334159851;0.6083878874778748;0.5272067189216614;0.6106747388839722;0.4426509737968445;0.4781550765037536;0.5097594857215881
2020;Amarela;LC;4;inglês;578;A;C;0.0074516566079566;0.8411750215543786;0.4896419644355774;B;0.6083878874778748;D;0.4426509737968445;E;0.4781550765037536;0.5097313125928243;0.6083878874778748;0.4426509737968445;B;0.6083878874778748;0.020089348157246945;0.6016850918531418;0.6494477987289429;B;0.5294724802176157;0.6106747388839722;BE;0.6494477987289429;0.4896419644355774;0.6365497708320618;0.6311008334159851;0.6083878874778748;0.5272067189216614;0.6106747388839722;0.4426509737968445;0.4781550765037536;0.5097594857215881
2020;Amarela;LC;4;inglês;578;A;D;0.0462495381204581;0.8411750215543786;0.6365497708320618;B;0.5272067189216614;C;0.4426509737968445;E;0.5097594857215881;0.493205726146698;0.5272067189216614;0.4426509737968445;B;0.5272067189216614;-0.14334404468536377;0.6016850918531418;0.6494477987289429;B;0.5294724802176157;0.6106747388839722;BE;0.6494477987289429;0.4896419644355774;0.6365497708320618;0.6311008334159851;0.6083878874778748;0.5272067189216614;0.6106747388839722;0.4426509737968445;0.4781550765037536;0.5097594857215881
2020;Amarela;LC;4;inglês;578;A;E;0.077842098780638;0.8411750215543786;0.6311008334159851;B;0.6106747388839722;C;0.4781550765037536;D;0.5097594857215881;0.5328631003697714;0.6106747388839722;0.4781550765037536;B;0.6106747388839722;-0.09823773304621375;0.6016850918531418;0.6494477987289429;B;0.5294724802176157;0.6106747388839722;BE;0.6494477987289429;0.4896419644355774;0.6365497708320618;0.6311008334159851;0.6083878874778748;0.5272067189216614;0.6106747388839722;0.4426509737968445;0.4781550765037536;0.5097594857215881
2020;Amarela;LC;5;inglês;578;A;B;0.012498460780692;0.66044822066248;0.5666290521621704;C;0.6324896812438965;D;0.5200129151344299;E;0.5101577043533325;0.5542201002438863;0.6324896812438965;0.5101577043533325;C;0.6324896812438965;-0.012408951918284061;0.5806249976158142;0.6535784006118774;E;0.525022342801094;0.6324896812438965;BC;0.5666290521621704;0.5766343474388123;0.5256581902503967;0.6535784006118774;0.6324896812438965;0.5200129151344299;0.5101577043533325;0.467927485704422;0.5862698554992676;0.4332764148712158
2020;Amarela;LC;5;inglês;578;A;C;0.0483314862701637;0.66044822066248;0.5766343474388123;B;0.6324896812438965;D;0.467927485704422;E;0.5862698554992676;0.5622290074825287;0.6324896812438965;0.467927485704422;B;0.6324896812438965;-0.01440533995628357;0.5806249976158142;0.6535784006118774;E;0.525022342801094;0.6324896812438965;BC;0.5666290521621704;0.5766343474388123;0.5256581902503967;0.6535784006118774;0.6324896812438965;0.5200129151344299;0.5101577043533325;0.467927485704422;0.5862698554992676;0.4332764148712158
2020;Amarela;LC;5;inglês;578;A;D;0.2479374461273242;0.66044822066248;0.5256581902503967;B;0.5200129151344299;C;0.467927485704422;E;0.4332764148712158;0.4737389385700226;0.5200129151344299;0.4332764148712158;B;0.5200129151344299;-0.051919251680374146;0.5806249976158142;0.6535784006118774;E;0.525022342801094;0.6324896812438965;BC;0.5666290521621704;0.5766343474388123;0.5256581902503967;0.6535784006118774;0.6324896812438965;0.5200129151344299;0.5101577043533325;0.467927485704422;0.5862698554992676;0.4332764148712158
2020;Amarela;LC;5;inglês;578;A;E;0.0307843861593399;0.66044822066248;0.6535784006118774;B;0.5101577043533325;C;0.5862698554992676;D;0.4332764148712158;0.5099013249079386;0.5862698554992676;0.4332764148712158;C;0.5862698554992676;-0.14367707570393884;0.5806249976158142;0.6535784006118774;E;0.525022342801094;0.6324896812438965;BC;0.5666290521621704;0.5766343474388123;0.5256581902503967;0.6535784006118774;0.6324896812438965;0.5200129151344299;0.5101577043533325;0.467927485704422;0.5862698554992676;0.4332764148712158
2020;Amarela;LC;1;espanhol;578;C;A;0.1298061646012075;0.3649507467429297;0.54775071144104;B;0.1289547681808471;D;0.424111932516098;E;0.4701686799526214;0.3410784602165222;0.4701686799526214;0.1289547681808471;E;0.4701686799526214;-0.20667225122451782;0.3847193829715251;0.54775071144104;A;0.2767728368441263;0.4701686799526214;AE;0.1289547681808471;0.54775071144104;0.424111932516098;0.4701686799526214;0.2131369858980178;0.2120779305696487;0.1590947359800338;0.3172500133514404;0.4607398211956024;0.266228973865509
