cor;area;questao;pct_branco;pct_dupla;pct_A;pct_B;pct_C;pct_D;pct_E
Azul;Linguagens, Códigos e suas Tecnologias;1;0.0033410176739834953;0.0003675119441381845;0.07340710932260228;0.06887994634473507;0.0425888665325285;0.2552649228705567;0.5598591549295775
Azul;Linguagens, Códigos e suas Tecnologias;2;0.00350806855768267;0.0003341017673983495;0.08207002951435471;0.11721894284947679;0.5562449691440837;0.156057150523209;0.08840890796887577
Azul;Linguagens, Códigos e suas Tecnologias;3;0.00364170926464201;0.00046774247435768935;0.29495437466451957;0.19021739130434784;0.09997316156736447;0.37828770799785294;0.03656736446591519
Azul;Linguagens, Códigos e suas Tecnologias;4;0.003741939794861515;0.0007684340650162039;0.21590146328366225;0.11172640622902404;0.3791112901060545;0.10511478050745067;0.18814605987380856
Azul;Linguagens, Códigos e suas Tecnologias;5;0.0034746583809428353;0.0005345628278373592;0.2992854986414411;0.11928482774814665;0.09234846197712254;0.04240045620744021;0.4466807554258495
Azul;Linguagens, Códigos e suas Tecnologias;6;0.004276502622698874;0.0003675119441381845;0.1765574650912997;0.41903866809881846;0.1081498388829216;0.23382116004296455;0.062432867883995706
Azul;Linguagens, Códigos e suas Tecnologias;7;0.0015702783067722428;0.0006013831813170291;0.027757316011518113;0.09110694435143642;0.6864327328735016;0.17812897609321637;0.016574030670327464
Azul;Linguagens, Códigos e suas Tecnologias;8;0.0026059937857071266;0.000701613711536534;0.084271922767498;0.24420085813891124;0.10290962724591043;0.13451997854652722;0.43409761330115315
Azul;Linguagens, Códigos e suas Tecnologias;9;0.0015034579532925728;0.0006347933580568641;0.11521076773696722;0.13138246224930525;0.5904509994308099;0.046439213848059734;0.11651655673485788
Azul;Linguagens, Códigos e suas Tecnologias;10;0.002672814139186796;0.0008018442417560389;0.5059509840077782;0.052804505984510676;0.22975827270593757;0.17789251349448487;0.0335937238072887
Azul;Linguagens, Códigos e suas Tecnologias;11;0.0035414787344225053;0.0002672814139186796;0.06613676761578965;0.09903746185062212;0.09769594526612335;0.20535265117215012;0.5317771740953148
Azul;Linguagens, Códigos e suas Tecnologias;12;0.0026394039624469613;0.00016705088369917476;0.06007303916641538;0.2900459007605454;0.35065500720340403;0.09565450464033236;0.2035715482293028
Azul;Linguagens, Códigos e suas Tecnologias;13;0.002104841134609602;0.0007684340650162039;0.8247277600938181;0.03085944044228514;0.10226168537443459;0.022214776344446307;0.019936337745015915
Azul;Linguagens, Códigos e suas Tecnologias;14;0.0016705088369917476;0.0006013831813170291;0.012691290225362488;0.12061748652178281;0.017881659578742926;0.012590831463684157;0.8362187322104276
Azul;Linguagens, Códigos e suas Tecnologias;15;0.002906685376365641;0.00040092212087801946;0.09677527487262;0.5682488602842585;0.05953338696701529;0.15801823545186378;0.11742424242424243
Azul;Linguagens, Códigos e suas Tecnologias;16;0.0023721225485282818;0.00030069159065851457;0.0771833439415765;0.12642792536263442;0.4938863019664333;0.2478643931526582;0.0546380355766976
Azul;Linguagens, Códigos e suas Tecnologias;17;0.0018375597206909224;0.00040092212087801946;0.08830029466916689;0.7264934369140101;0.1473010983123493;0.028060541119742835;0.009844628984730779
Azul;Linguagens, Códigos e suas Tecnologias;18;0.003808760148341185;0.0003675119441381845;0.17875595517681003;0.1644970811246058;0.40226799973159766;0.07025431121250755;0.18422465275447897
Azul;Linguagens, Códigos e suas Tecnologias;19;0.0019043800741705924;0.0001336407069593398;0.04941412788751255;0.5882156009373953;0.07612989621694008;0.18188818212253097;0.10435219283562103
Azul;Linguagens, Códigos e suas Tecnologias;20;0.00701613711536534;0.0005345628278373592;0.2550412388486787;0.13489311563709813;0.08877293384952029;0.06137013970712001;0.4599225719575829
Azul;Linguagens, Códigos e suas Tecnologias;21;0.001436637599812903;0.0004343322976178544;0.025405857740585774;0.9196987447698745;0.011146443514644352;0.019782426778242677;0.02396652719665272
Azul;Linguagens, Códigos e suas Tecnologias;22;0.0018375597206909224;0.0006013831813170291;0.7919150646392926;0.0484292316966977;0.02773126130350325;0.11568088954384084;0.01624355281666555
Azul;Linguagens, Códigos e suas Tecnologias;23;0.0027730446694063013;0.0006347933580568641;0.1688960407656978;0.5412182775151698;0.1273592812363807;0.0316470548794797;0.130879345603272
Azul;Linguagens, Códigos e suas Tecnologias;24;0.004109451738999699;0.0002672814139186796;0.4061744966442953;0.13748322147651007;0.12110738255033557;0.061610738255033555;0.2736241610738255
Azul;Linguagens, Códigos e suas Tecnologias;25;0.004243092445959039;0.00030069159065851457;0.26001006880349053;0.23131397885551266;0.22862896459137438;0.24343010572243665;0.03661688202718577
Azul;Linguagens, Códigos e suas Tecnologias;26;0.0020046106043900974;0.00020046106043900973;0.0881299179641721;0.030303030303030304;0.3019253306546124;0.5589151180311401;0.020726603047045038
Azul;Linguagens, Códigos e suas Tecnologias;27;0.008586415422137584;0.0005345628278373592;0.20186796142693372;0.1425247825207364;0.3906197316069863;0.12192325848000539;0.1430642659653382
Azul;Linguagens, Códigos e suas Tecnologias;28;0.002138251311349437;0.00040092212087801946;0.08085747780941216;0.7005526712443477;0.09298274995813097;0.11006531569251382;0.015541785295595377
